src,dst
40,456
40,604
41,830
41,523
41,766
41,87
41,963
41,144
41,470
41,635
42,855
42,356
42,256
42,185
42,259
42,93
42,336
43,442
43,594
43,516
43,464
43,356
43,855
43,13
43,939
44,672
44,808
44,965
44,995
44,184
44,165
44,374
44,968
45,571
45,391
45,854
45,38
45,533
45,674
45,221
45,291
46,421
46,750
46,792
46,12
46,195
46,966
46,230
47,709
47,296
47,777
47,323
47,374
47,681
47,934
47,174
48,777
48,508
48,323
48,917
48,40
48,741
48,528
48,582
49,968
49,531
49,174
49,281
49,224
49,917
49,860
49,599
50,855
50,886
50,513
50,572
50,464
50,519
50,699
51,993
51,224
51,712
51,293
51,733
51,331
51,242
51,222
52,25
52,647
52,869
52,115
52,218
52,305
52,921
52,637
53,641
53,135
53,587
53,723
53,33
53,113
53,911
54,212
54,236
54,538
54,389
54,602
54,957
54,913
54,421
55,313
55,233
55,373
55,906
55,556
55,410
55,41
55,330
56,88
56,181
56,186
56,545
56,217
56,37
56,661
56,643
57,745
57,501
57,738
57,38
57,607
57,87
57,980
57,727
58,727
58,957
58,854
58,571
58,810
58,577
58,540
58,236
59,604
59,905
59,162
59,294
59,580
59,611
59,110
60,444
60,862
60,99
60,955
60,693
60,759
60,167
60,529
61,829
61,464
61,213
61,356
61,697
61,788
61,307
61,855
62,337
62,109
62,465
62,32
62,5
62,536
62,953
62,291
63,107
63,325
63,144
63,176
63,957
63,230
63,152
63,980
64,760
64,769
64,537
64,950
64,653
64,542
64,828
64,45
65,569
65,624
65,702
65,544
65,746
65,53
65,123
66,940
66,408
66,535
66,492
66,653
66,558
66,755
67,110
67,361
67,939
67,620
67,332
67,905
67,494
67,718
68,572
68,638
68,834
68,848
68,604
68,185
68,183
68,482
69,291
69,436
69,728
69,925
69,85
69,861
69,966
70,277
70,996
70,972
70,667
70,149
70,93
70,608
70,496
71,532
71,452
71,25
71,715
71,179
71,10
71,625
72,634
72,214
72,620
72,23
72,594
72,266
72,332
72,638
73,611
73,188
73,277
73,251
73,781
73,159
73,44
73,787
74,271
74,658
74,144
74,957
74,212
74,966
74,600
74,738
75,292
75,179
75,90
75,514
75,298
75,97
75,22
75,289
76,421
76,593
76,925
76,38
76,792
76,980
76,600
76,766
77,61
77,460
77,38
77,571
77,55
77,465
77,980
77,501
78,394
78,217
78,729
78,657
78,397
78,346
78,893
79,733
79,872
79,785
79,497
79,881
79,242
79,82
79,94
80,444
80,537
80,942
80,433
80,57
80,950
80,971
81,671
81,246
81,831
81,324
81,433
81,970
81,887
82,444
82,74
82,475
82,585
82,493
82,802
82,45
82,79
83,687
83,511
83,559
83,320
83,816
83,184
83,386
83,194
84,813
84,864
84,427
84,474
84,702
84,217
84,270
85,375
85,880
85,9
85,126
85,43
85,730
85,802
85,585
86,897
86,789
86,712
86,82
86,652
86,817
86,528
86,899
87,38
87,365
87,291
87,436
87,830
87,137
87,874
88,329
88,471
88,752
88,125
88,669
88,79
88,133
88,56
89,585
89,257
89,102
89,459
89,265
89,447
89,295
90,549
90,355
90,978
90,338
90,147
90,569
90,723
91,801
91,38
91,861
91,577
91,501
91,478
91,144
91,465
92,371
92,229
92,598
92,77
92,466
92,508
92,731
93,676
93,231
93,331
93,733
93,860
93,783
93,196
93,402
94,50
94,939
94,794
94,855
94,597
94,241
94,836
94,932
95,7
95,484
95,675
95,790
95,371
95,263
95,16
96,405
96,356
96,294
96,944
96,419
96,632
96,178
96,110
97,783
97,598
97,965
97,774
97,481
97,77
97,945
97,897
98,346
98,657
98,114
98,218
98,898
98,285
98,88
98,624
99,713
99,465
99,87
99,38
99,867
99,874
99,677
99,343
100,581
100,38
100,12
100,269
100,830
100,291
100,87
100,365
101,501
101,766
101,269
101,607
101,523
101,738
101,479
101,688
102,713
102,70
102,38
102,925
102,470
102,152
102,460
102,87
103,623
103,469
103,695
103,753
103,310
103,27
103,342
103,318
104,673
104,965
104,774
104,386
104,934
104,860
104,782
104,872
105,306
105,7
105,663
105,815
105,969
105,161
105,724
105,486
106,310
106,53
106,723
106,88
106,546
106,549
106,33
106,90
107,464
107,110
107,521
107,999
107,905
107,747
107,20
107,689
108,615
108,10
108,545
108,866
108,209
108,179
108,719
109,611
109,758
109,361
109,456
109,253
109,266
109,943
109,110
110,173
110,390
110,642
110,583
110,146
110,394
110,317
110,746
111,618
111,298
111,918
111,338
111,639
111,179
111,657
111,289
112,307
112,23
112,361
112,580
112,638
112,829
112,739
112,134
113,881
113,177
113,94
113,395
113,687
113,393
113,578
113,877
114,750
114,152
114,105
114,98
114,674
114,334
114,61
114,873
115,756
115,73
115,851
115,449
115,190
115,451
115,43
115,126
116,152
116,421
116,852
116,197
116,728
116,873
116,633
116,344
117,862
117,316
117,585
117,831
117,973
117,891
117,264
117,802
118,934
118,386
118,709
118,553
118,393
118,445
118,341
118,646
119,698
119,26
119,662
119,456
119,855
119,241
119,594
119,8
120,355
120,121
120,180
120,546
120,160
120,262
120,679
120,517
121,505
121,221
121,963
121,863
121,136
121,867
121,478
121,564
122,891
122,752
122,367
122,120
122,492
122,43
122,693
122,353
123,964
123,490
123,549
123,661
123,289
123,746
123,97
124,907
124,419
124,303
124,836
124,855
124,670
124,20
124,865
125,844
125,513
125,763
125,140
125,943
125,48
125,50
125,266
126,405
126,718
126,225
126,900
126,612
126,464
126,739
126,185
127,278
127,405
127,855
127,140
127,933
127,213
127,594
127,912
128,572
128,987
128,979
128,768
128,188
128,442
128,50
128,163
129,276
129,587
129,53
129,921
129,127
129,114
129,961
130,458
130,305
130,261
130,507
130,218
130,114
130,753
130,517
131,536
131,38
131,87
131,966
131,98
131,736
131,139
131,609
132,134
132,188
132,519
132,240
132,14
132,253
132,8
132,698
133,445
133,872
133,965
133,306
133,374
133,652
133,286
133,82
134,583
134,209
134,10
134,298
134,661
134,317
134,218
134,514
135,699
135,518
135,13
135,604
135,907
135,834
135,482
135,597
136,278
136,757
136,336
136,442
136,419
136,983
136,836
136,284
137,87
137,308
137,197
137,478
137,203
137,927
137,658
138,841
138,415
138,880
138,802
138,824
138,79
138,246
138,489
139,371
139,515
139,777
139,229
139,646
139,675
139,761
139,248
140,709
140,172
140,508
140,733
140,511
140,871
140,879
140,92
141,217
141,964
141,746
141,569
141,78
141,509
141,487
141,514
142,618
142,2
142,813
142,179
142,272
142,625
142,217
142,209
143,110
143,336
143,50
143,612
143,20
143,855
143,464
144,471
144,74
144,410
144,187
144,558
144,133
144,41
144,288
145,825
145,855
145,670
145,23
145,405
145,939
145,650
145,301
146,489
146,548
146,535
146,760
146,802
146,116
146,398
146,977
147,132
147,436
147,581
147,365
147,890
147,112
147,391
147,38
148,185
148,983
148,26
148,141
148,333
148,604
148,539
148,794
149,293
149,743
149,754
149,196
149,4
149,897
149,798
149,177
150,998
150,569
150,643
150,641
150,390
150,6
150,866
150,319
151,45
151,802
151,384
151,669
151,433
151,894
151,418
152,426
152,87
152,536
152,345
152,344
152,627
152,708
153,190
153,56
153,887
153,357
153,683
153,841
153,444
153,970
154,390
154,319
154,643
154,628
154,941
154,249
154,546
154,998
155,738
155,501
155,505
155,203
155,343
155,38
155,109
155,436
156,805
156,450
156,112
156,710
156,32
156,738
156,680
157,436
157,874
157,957
157,291
157,633
157,677
157,87
157,325
158,357
158,617
158,906
158,542
158,457
158,797
158,838
158,369
159,841
159,190
159,567
159,45
159,959
159,831
159,56
159,255
160,766
160,792
160,966
160,867
160,391
160,919
160,564
160,533
161,921
161,205
161,588
161,124
161,644
161,458
161,517
161,924
162,627
162,334
162,533
162,555
162,391
162,197
162,526
162,132
163,38
163,890
163,745
163,728
163,501
163,956
163,87
163,128
164,88
164,261
164,636
164,678
164,425
164,390
164,160
164,147
165,586
165,3
165,729
165,115
165,249
165,261
165,247
165,146
166,384
166,894
166,264
166,756
166,447
166,324
166,43
166,613
167,849
167,292
167,2
167,394
167,276
167,383
167,569
167,113
168,89
168,43
168,267
168,971
168,585
168,116
168,567
168,802
169,266
169,347
169,328
169,50
169,844
169,158
169,251
169,886
170,749
170,235
170,386
170,194
170,92
170,387
170,860
170,155
171,597
171,518
171,252
171,703
171,996
171,974
171,198
172,184
172,194
172,817
172,463
172,599
172,528
172,448
173,815
173,782
173,312
173,554
173,960
173,733
173,709
173,877
174,171
174,518
174,252
174,597
174,93
174,188
174,13
174,50
175,609
175,325
175,230
175,538
175,658
175,956
175,195
175,67
176,690
176,757
176,13
176,855
176,513
176,198
176,928
176,347
177,400
177,785
177,94
177,196
177,881
177,598
177,323
178,15
178,146
178,160
178,270
178,71
178,746
178,546
178,623
179,979
179,855
179,442
179,50
179,284
179,266
179,734
179,932
180,14
180,758
180,594
180,13
180,632
180,198
180,516
180,794
181,290
181,901
181,738
181,137
181,5
181,478
181,713
181,144
182,786
182,925
182,18
182,38
182,966
182,290
182,708
183,770
183,704
183,525
183,82
183,381
183,94
183,508
183,286
184,123
184,147
184,978
184,37
184,88
184,115
184,355
184,2
185,148
185,528
185,312
185,733
185,184
185,194
185,872
185,860
186,661
186,753
186,893
186,342
186,168
186,474
186,623
187,687
187,872
187,877
187,881
187,646
187,528
187,395
187,672
188,861
188,919
188,740
188,195
188,128
188,505
188,122
188,609
189,779
189,855
189,13
189,456
189,191
189,640
189,812
189,885
190,783
190,676
190,816
190,881
190,94
190,510
190,161
190,358
191,271
191,38
191,365
191,533
191,476
191,957
191,846
191,966
192,977
192,534
192,433
192,41
192,601
192,795
192,826
193,802
193,567
193,585
193,660
193,330
193,592
193,79
193,234
194,170
194,517
194,978
194,285
194,276
194,947
194,735
194,37
195,709
195,965
195,931
195,860
195,741
195,598
195,281
195,165
196,620
196,521
196,198
196,464
196,547
196,594
196,356
196,111
197,286
197,381
197,877
197,511
197,675
197,872
197,603
197,879
198,457
198,204
198,409
198,760
198,601
198,190
198,407
198,537
199,112
199,290
199,980
199,212
199,389
199,86
199,136
199,651
200,356
200,667
200,638
200,513
200,216
200,417
200,972
200,807
201,738
201,873
201,195
201,538
201,144
201,609
201,308
201,571
202,985
202,502
202,469
202,11
202,821
202,249
202,990
202,625
203,471
203,410
203,264
203,133
203,535
203,288
203,959
203,891
204,536
204,677
204,411
204,854
204,378
204,956
204,786
204,919
205,13
205,464
205,836
205,214
205,939
205,134
205,48
205,689
206,585
206,226
206,420
206,955
206,537
206,444
206,199
206,133
207,835
207,90
207,113
207,695
207,394
207,964
207,799
207,998
208,957
208,38
208,863
208,593
208,963
208,182
208,55
208,136
209,134
209,162
209,496
209,277
209,547
209,640
209,996
209,812
210,399
210,542
210,714
210,444
210,376
210,492
210,707
211,509
211,641
211,908
211,500
211,65
211,262
211,279
211,624
212,54
212,266
212,594
212,634
212,356
212,670
212,604
212,747
213,397
213,22
213,180
213,888
213,127
213,209
213,181
213,910
214,85
214,957
214,230
214,389
214,250
214,980
214,738
214,104
215,43
215,226
215,613
215,841
215,955
215,722
215,360
215,601
216,646
216,138
216,860
216,774
216,263
216,687
216,77
216,189
217,471
217,543
217,887
217,422
217,201
217,669
217,971
217,435
218,146
218,305
218,647
218,366
218,289
218,975
218,209
219,429
219,216
219,134
219,159
219,336
219,987
219,608
219,496
220,404
220,666
220,349
220,679
220,15
220,921
220,11
220,127
221,594
221,987
221,251
221,848
221,23
221,356
221,51
221,266
222,387
222,348
222,993
222,508
222,881
222,82
222,817
223,983
223,662
223,23
223,163
223,640
223,844
223,297
223,513
224,855
224,13
224,51
224,356
224,987
224,640
224,939
224,299
225,390
225,350
225,715
225,118
225,647
225,170
225,173
225,921
226,623
226,772
226,532
226,507
226,641
226,270
226,715
226,474
227,263
227,372
227,551
227,95
227,733
227,293
227,189
227,815
228,574
228,873
228,478
228,67
228,748
228,668
228,635
229,390
229,127
229,679
229,15
229,147
229,397
229,11
229,490
230,214
230,983
230,855
230,662
230,513
230,604
230,50
230,464
231,445
231,323
231,194
231,993
231,393
231,402
231,968
232,207
232,307
232,932
232,377
232,734
232,768
232,886
232,620
233,848
233,905
233,483
233,689
233,594
233,516
233,638
233,513
234,152
234,337
234,29
234,748
234,421
234,925
234,873
234,436
235,914
235,930
235,783
235,598
235,194
235,52
235,211
236,950
236,802
236,977
236,493
236,760
236,43
236,537
236,264
237,139
237,536
237,244
237,873
237,86
237,308
237,861
237,606
238,571
238,291
238,236
238,854
238,655
238,391
238,577
239,265
239,433
239,686
239,562
239,671
239,989
239,601
239,330
240,345
240,470
240,321
240,854
240,963
240,87
240,957
240,436
241,500
241,964
241,53
241,170
241,746
241,641
241,911
241,335
242,13
242,42
242,781
242,356
242,198
242,878
242,757
242,220
243,325
243,136
243,38
243,957
243,727
243,87
243,738
243,291
244,625
244,821
244,11
244,205
244,586
244,679
244,438
244,549
245,15
245,679
245,545
245,113
245,772
245,135
245,715
245,205
246,264
246,423
246,81
246,187
246,756
246,991
246,989
247,503
247,514
247,625
247,34
247,615
247,179
247,910
248,145
248,988
248,893
248,544
248,569
248,998
248,452
248,270
249,434
249,929
249,40
249,897
249,508
249,673
249,480
249,258
250,743
250,323
250,783
250,235
250,231
250,393
250,302
250,402
251,172
251,463
251,917
251,598
251,196
251,675
251,184
251,508
252,716
252,151
252,631
252,601
252,802
252,433
252,891
252,780
253,15
253,317
253,719
253,642
253,911
253,849
253,131
253,218
254,732
254,632
254,944
254,670
254,225
254,739
254,516
254,251
255,327
255,932
255,912
255,141
255,159
255,307
255,213
255,572
256,336
256,597
256,185
256,259
256,252
256,141
256,44
257,400
257,969
257,754
257,371
257,416
257,286
257,263
257,372
258,916
258,923
258,482
258,100
258,134
258,781
258,216
258,885
259,569
259,985
259,15
259,298
259,678
259,113
259,978
259,53
260,321
260,436
260,658
260,740
260,745
260,197
260,505
260,106
261,494
261,763
261,50
261,662
261,611
261,442
261,829
261,513
262,848
262,403
262,23
262,900
262,812
262,13
262,482
262,134
263,227
263,41
263,891
263,828
263,264
263,971
263,527
263,471
264,453
264,318
264,34
264,404
264,170
264,641
264,715
264,623
265,316
265,433
265,558
265,938
265,802
265,459
265,226
266,594
266,54
266,634
266,923
266,328
266,356
266,580
267,22
267,168
267,685
267,605
267,641
267,118
267,679
267,517
268,34
268,490
268,319
268,469
268,723
268,390
268,2
268,746
269,802
269,845
269,722
269,471
269,101
269,955
269,79
269,80
270,266
270,634
270,456
270,347
270,214
270,20
270,999
270,734
271,191
271,836
271,855
271,778
271,597
271,820
271,442
271,570
272,709
272,965
272,960
272,484
272,774
272,82
272,92
272,860
273,344
273,658
273,538
273,87
273,308
273,721
273,197
273,345
274,528
274,881
274,993
274,293
274,652
274,242
274,877
274,28
275,376
275,537
275,73
275,167
275,529
275,971
275,767
275,851
276,514
276,615
276,129
276,113
276,58
276,924
276,396
277,257
277,102
277,891
277,656
277,190
277,451
277,73
277,227
278,71
278,719
278,127
278,869
278,921
278,25
278,452
278,453
279,205
279,715
279,123
279,967
279,124
279,735
279,97
280,401
280,624
280,472
280,490
280,346
280,625
280,65
280,948
281,438
281,596
281,586
281,33
281,545
281,618
281,821
281,819
282,797
282,457
282,989
282,288
282,246
282,563
282,41
282,617
283,356
283,634
283,690
283,110
283,829
283,594
283,768
284,623
284,179
284,723
284,53
284,317
284,618
284,911
284,835
285,898
285,469
285,719
285,124
285,588
285,88
285,947
286,750
286,197
286,137
286,658
286,980
286,290
286,38
286,927
287,660
287,527
287,537
287,433
287,760
287,367
287,797
287,937
288,544
288,65
288,569
288,310
288,88
288,27
288,911
288,605
289,412
289,683
289,369
289,295
289,257
289,567
289,887
289,415
290,286
290,681
290,646
290,872
290,229
290,897
290,248
290,774
291,328
291,779
291,825
291,572
291,664
291,336
291,701
291,220
292,196
292,60
292,783
292,275
292,293
292,177
292,528
292,306
293,90
293,502
293,869
293,292
293,452
293,573
293,569
293,383
294,306
294,860
294,268
294,486
294,77
294,248
294,323
294,371
295,439
295,619
295,970
295,955
295,722
295,79
295,797
296,829
296,188
296,825
296,807
296,939
296,773
296,23
296,518
297,618
297,319
297,918
297,685
297,390
297,22
297,765
297,209
298,618
298,893
298,978
298,975
298,723
298,209
298,53
299,421
299,792
299,627
299,38
299,710
299,212
299,651
299,197
300,82
300,528
300,712
300,741
300,229
300,393
300,899
300,598
301,571
301,391
301,238
301,325
301,555
301,436
301,651
301,337
302,679
302,639
302,474
302,625
302,546
302,84
302,401
302,10
303,346
303,624
303,514
303,217
303,124
303,84
303,641
303,319
304,423
304,410
304,831
304,730
304,126
304,412
304,422
304,542
305,394
305,173
305,218
305,338
305,921
305,918
305,170
306,918
306,394
306,679
306,209
306,910
306,625
306,474
306,583
307,898
307,910
307,22
307,209
307,310
307,636
307,458
307,1
308,536
308,197
308,139
308,195
308,997
308,132
308,609
309,708
309,406
309,555
309,478
309,560
309,290
309,107
309,577
310,12
310,106
310,505
310,740
310,197
310,436
310,55
310,658
311,887
311,617
311,457
311,660
311,529
311,714
311,542
311,255
312,723
312,123
312,964
312,173
312,637
312,647
312,657
312,978
313,733
313,385
313,782
313,879
313,286
313,371
313,486
313,372
314,509
314,390
314,908
314,88
314,746
314,401
314,319
314,618
315,932
315,193
315,632
315,93
315,252
315,776
315,110
315,758
316,982
316,38
316,635
316,98
316,533
316,713
316,87
316,436
317,146
317,88
317,625
317,546
317,623
317,864
317,58
318,264
318,489
318,938
318,43
318,246
318,756
318,103
318,771
319,566
319,116
319,991
319,243
319,375
319,992
319,970
319,422
320,928
320,50
320,198
320,737
320,240
320,734
320,287
320,996
321,15
321,173
321,350
321,170
321,335
321,317
321,911
321,702
322,393
322,512
322,598
322,551
322,931
322,803
322,929
322,590
323,923
323,252
323,999
323,912
323,134
323,905
323,932
323,933
324,484
324,790
324,196
324,231
324,94
324,393
324,931
324,684
325,357
325,243
325,797
325,410
325,567
325,617
325,232
325,495
326,618
326,625
326,179
326,583
326,404
326,270
326,517
326,918
327,255
327,81
327,556
327,422
327,802
327,79
327,467
327,537
328,4
328,598
328,235
328,733
328,326
328,138
328,374
328,741
329,802
329,373
329,41
329,420
329,79
329,413
329,489
330,460
330,478
330,38
330,935
330,250
330,593
330,581
330,104
331,385
331,803
331,194
331,231
331,598
331,172
331,434
332,286
332,94
332,652
332,785
332,568
332,400
332,993
332,320
333,635
333,98
333,581
333,87
333,560
333,104
333,156
333,343
334,384
334,567
334,492
334,631
334,654
334,357
334,838
334,449
335,116
335,693
335,760
335,384
335,970
335,946
335,838
335,716
336,664
336,256
336,93
336,143
336,50
336,185
336,51
337,620
337,902
337,939
337,301
337,266
337,825
337,23
337,287
338,840
338,918
338,947
338,618
338,305
338,394
338,735
339,311
339,503
339,618
339,910
339,615
339,247
339,404
339,179
340,719
340,618
340,615
340,218
340,657
340,209
340,921
340,898
341,597
341,974
341,171
341,638
341,278
341,800
341,939
341,994
342,594
342,773
342,834
342,604
342,907
342,885
342,516
342,916
343,332
343,198
343,521
343,547
343,855
343,928
343,912
343,93
344,488
344,24
344,855
344,773
344,356
344,456
344,266
344,793
345,500
345,427
345,346
345,615
345,78
345,715
345,390
345,1
346,451
346,693
346,802
346,601
346,433
346,962
346,562
346,43
347,638
347,737
347,287
347,240
347,905
347,278
347,429
348,537
348,369
348,246
348,756
348,541
348,187
348,755
348,527
349,950
349,585
349,802
349,444
349,126
349,619
349,300
349,412
350,560
350,321
350,197
350,505
350,874
350,721
350,389
350,107
351,330
351,802
351,653
351,585
351,133
351,444
351,619
351,797
352,324
352,631
352,756
352,601
352,422
352,384
352,937
352,823
353,86
353,122
353,564
353,861
353,426
353,555
353,847
353,956
354,599
354,582
354,860
354,263
354,803
354,400
354,673
354,416
355,879
355,448
355,385
355,511
355,598
355,881
355,82
355,381
356,625
356,146
356,587
356,71
356,64
356,390
356,33
356,576
357,94
357,733
357,161
357,917
357,508
357,783
357,881
357,82
358,419
358,297
358,757
358,13
358,356
358,283
358,788
358,405
359,190
359,940
359,233
359,410
359,537
359,202
359,971
359,631
360,710
360,801
360,846
360,344
360,432
360,450
360,627
360,460
361,444
361,722
361,274
361,940
361,43
361,79
361,802
361,80
362,491
362,81
362,360
362,762
362,585
362,887
362,660
362,208
363,594
363,516
363,848
363,483
363,885
363,266
363,429
363,54
364,421
364,982
364,861
364,952
364,561
364,166
364,925
364,953
365,369
365,433
365,970
365,534
365,439
365,527
365,398
365,537
366,174
366,82
366,511
366,816
366,881
366,783
366,400
366,91
367,294
367,518
367,287
367,923
367,825
367,597
367,829
367,266
368,79
368,880
368,369
368,802
368,537
368,457
368,567
368,742
369,733
369,370
369,976
369,881
369,312
369,348
369,387
369,371
370,26
370,698
370,429
370,513
370,23
370,983
370,54
370,892
371,255
371,492
371,802
371,399
371,433
371,831
371,257
371,562
372,213
372,327
372,865
372,26
372,191
372,162
372,932
372,547
373,719
373,869
373,25
373,911
373,218
373,209
373,71
373,546
374,977
374,43
374,950
374,585
374,653
374,802
374,971
374,133
375,85
375,861
375,966
375,957
375,677
375,883
375,128
375,389
376,486
376,733
376,358
376,783
376,306
376,724
376,461
376,528
377,195
377,87
377,677
377,250
377,953
377,291
377,680
377,861
378,343
378,391
378,536
378,152
378,122
378,810
378,552
379,310
379,181
379,179
379,967
379,772
379,276
379,311
379,319
380,890
380,581
380,290
380,197
380,533
380,86
380,389
380,128
381,525
381,790
381,393
381,704
381,511
381,348
381,94
382,774
382,559
382,568
382,94
382,161
382,652
382,815
382,358
383,832
383,356
383,972
383,191
383,779
383,933
383,185
383,757
384,678
384,160
384,3
384,893
384,394
384,180
384,121
384,679
385,658
385,29
385,35
385,389
385,581
385,668
385,750
385,391
386,121
386,181
386,118
386,170
386,517
386,573
386,947
386,3
387,88
387,90
387,15
387,941
387,544
387,998
387,338
387,113
388,758
388,13
388,939
388,513
388,594
388,943
388,50
388,638
389,977
389,267
389,493
389,992
389,537
389,970
389,550
389,192
390,389
390,854
390,980
390,38
390,873
390,501
390,236
390,154
391,564
391,766
391,571
391,38
391,221
391,593
391,35
392,3
392,179
392,569
392,729
392,279
392,998
392,813
392,628
393,966
393,345
393,436
393,87
393,38
393,533
393,635
393,182
394,377
394,110
394,612
394,252
394,277
394,632
394,287
394,44
395,440
395,13
395,690
395,928
395,327
395,787
395,198
395,332
396,276
396,115
396,532
396,1
396,33
396,390
396,88
397,433
397,567
397,619
397,300
397,412
397,295
397,530
397,802
398,977
398,802
398,433
398,550
398,57
398,950
398,43
399,19
399,620
399,690
399,284
399,632
399,23
399,829
399,266
400,257
400,491
400,447
400,563
400,828
400,562
400,451
400,742
401,88
401,261
401,625
401,985
401,723
401,573
401,657
402,977
402,398
402,828
402,823
402,537
402,202
402,133
402,891
403,733
403,559
403,510
403,306
403,881
403,161
403,326
403,528
404,518
404,825
404,301
404,943
404,634
404,902
404,266
404,664
405,921
405,127
405,961
405,637
405,390
405,114
405,115
405,587
406,518
406,999
406,13
406,597
406,699
406,464
406,604
406,171
407,518
407,26
407,597
407,198
407,468
407,158
407,241
407,912
408,266
408,48
408,594
408,923
408,604
408,855
408,59
408,251
409,356
409,793
409,256
409,333
409,987
409,732
409,303
409,198
410,301
410,328
410,266
410,832
410,939
410,23
410,670
410,604
411,87
411,727
411,197
411,927
411,919
411,436
411,738
412,890
412,470
412,935
412,436
412,345
412,38
412,18
412,501
413,266
413,20
413,832
413,812
413,303
413,570
413,926
413,944
414,43
414,45
414,435
414,102
414,802
414,940
414,977
415,19
415,773
415,620
415,477
415,464
415,640
415,629
415,277
416,13
416,213
416,277
416,620
416,905
416,800
416,565
416,739
417,30
417,660
417,491
417,567
417,537
417,946
417,716
417,492
418,212
418,230
418,505
418,238
418,236
418,136
418,997
418,957
419,674
419,874
419,533
419,602
419,291
419,616
419,421
419,334
420,508
420,993
420,568
420,416
420,222
420,673
420,899
420,196
421,76
421,196
421,94
421,652
421,387
421,508
421,929
421,817
422,213
422,758
422,26
422,594
422,547
422,241
422,297
422,776
423,345
423,152
423,343
423,633
423,470
423,197
423,436
423,308
424,525
424,603
424,872
424,733
424,0
424,741
424,696
424,260
425,926
425,494
425,163
425,855
425,662
425,162
425,191
425,442
426,615
426,545
426,438
426,205
426,135
426,641
426,11
426,821
427,87
427,236
427,345
427,847
427,436
427,455
427,651
427,627
428,670
428,983
428,214
428,787
428,634
428,442
428,979
429,638
429,634
429,347
429,253
429,266
429,848
429,206
430,426
430,577
430,365
430,526
430,378
430,953
430,710
430,627
431,950
431,444
431,977
431,493
431,802
431,756
431,585
432,82
432,296
432,897
432,77
432,371
432,969
432,673
432,381
433,363
433,92
433,323
433,7
433,196
433,371
433,466
433,293
434,846
434,555
434,365
434,750
434,533
434,997
434,156
434,61
435,743
435,917
435,363
435,783
435,554
435,463
435,877
435,803
436,729
436,941
436,113
436,37
436,967
436,34
436,53
436,78
437,921
437,438
437,908
437,114
437,514
437,618
437,270
437,97
438,13
438,836
438,788
438,689
438,442
438,912
438,158
438,482
439,650
439,597
439,513
439,110
439,981
439,698
439,667
439,299
440,274
440,190
440,780
440,537
440,959
440,823
440,324
440,43
441,980
441,55
441,555
441,708
441,112
441,750
441,197
441,166
442,777
442,393
442,528
442,598
442,165
442,929
442,931
442,153
443,866
443,270
443,904
443,695
443,573
443,623
443,65
443,34
444,528
444,82
444,783
444,222
444,976
444,741
444,584
444,733
445,830
445,38
445,738
445,87
445,963
445,766
445,203
445,980
446,957
446,736
446,389
446,104
446,421
446,710
446,536
446,677
447,867
