node_id,node_type,library,tool_id
TOOL:daily::order_food_delivery,tool,daily,order_food_delivery
TOOL:daily::order_taxi,tool,daily,order_taxi
TOOL:daily::play_music_by_title,tool,daily,play_music_by_title
TOOL:daily::play_movie_by_title,tool,daily,play_movie_by_title
TOOL:daily::take_note,tool,daily,take_note
TOOL:daily::borrow_book_online,tool,daily,borrow_book_online
TOOL:daily::recording_audio,tool,daily,recording_audio
TOOL:daily::make_video_call,tool,daily,make_video_call
TOOL:daily::make_voice_call,tool,daily,make_voice_call
TOOL:daily::organize_meeting_online,tool,daily,organize_meeting_online
TOOL:daily::attend_meeting_online,tool,daily,attend_meeting_online
TOOL:daily::software_management,tool,daily,software_management
TOOL:daily::print_document,tool,daily,print_document
TOOL:daily::set_alarm,tool,daily,set_alarm
TOOL:huggingface::Token Classification,tool,huggingface,Token Classification
TOOL:huggingface::Translation,tool,huggingface,Translation
TOOL:huggingface::Summarization,tool,huggingface,Summarization
TOOL:huggingface::Question Answering,tool,huggingface,Question Answering
TOOL:huggingface::Conversational,tool,huggingface,Conversational
TOOL:huggingface::Text Generation,tool,huggingface,Text Generation
TOOL:huggingface::Sentence Similarity,tool,huggingface,Sentence Similarity
TOOL:huggingface::Tabular Classification,tool,huggingface,Tabular Classification
TOOL:huggingface::Object Detection,tool,huggingface,Object Detection
TOOL:huggingface::Image Classification,tool,huggingface,Image Classification
TOOL:huggingface::Image-to-Image,tool,huggingface,Image-to-Image
TOOL:huggingface::Image-to-Text,tool,huggingface,Image-to-Text
TOOL:huggingface::Text-to-Image,tool,huggingface,Text-to-Image
TOOL:huggingface::Text-to-Video,tool,huggingface,Text-to-Video
TOOL:huggingface::Visual Question Answering,tool,huggingface,Visual Question Answering
TOOL:huggingface::Document Question Answering,tool,huggingface,Document Question Answering
TOOL:huggingface::Image Segmentation,tool,huggingface,Image Segmentation
TOOL:huggingface::Depth Estimation,tool,huggingface,Depth Estimation
TOOL:huggingface::Text-to-Speech,tool,huggingface,Text-to-Speech
TOOL:huggingface::Automatic Speech Recognition,tool,huggingface,Automatic Speech Recognition
TOOL:huggingface::Audio-to-Audio,tool,huggingface,Audio-to-Audio
TOOL:huggingface::Audio Classification,tool,huggingface,Audio Classification
TOOL:huggingface::Image Editing,tool,huggingface,Image Editing
