walk_id,start_type,start_library_node,start_library_name,start_tool_node,start_tool_label,step_1,step_2,step_3,step_4,step_5
31,tool,,,TOOL:daily::search_by_engine,daily::search_by_engine,daily::search_by_engine,multimedia::Video Search,multimedia::Video-to-Image,multimedia::Image-to-Text,huggingface::Text-to-Video
32,tool,,,TOOL:multimedia::Audio Downloader,multimedia::Audio Downloader,multimedia::Audio Downloader,multimedia::Audio Noise Reduction,multimedia::Audio-to-Text,multimedia::Text-to-Image,huggingface::Image Segmentation
33,tool,,,TOOL:huggingface::Audio Classification,huggingface::Audio Classification,huggingface::Audio Classification,daily::recording_audio,huggingface::Audio-to-Audio,multimedia::Audio Noise Reduction,multimedia::Audio-to-Text
34,tool,,,TOOL:daily::organize_meeting_online,daily::organize_meeting_online,daily::organize_meeting_online,daily::attend_meeting_online,multimedia::Topic Generator,daily::get_news_for_topic,multimedia::Topic Generator
35,tool,,,TOOL:huggingface::Text-to-Speech,huggingface::Text-to-Speech,huggingface::Text-to-Speech,multimedia::Audio-to-Image,multimedia::Image Colorizer,huggingface::Object Detection,huggingface::Text-to-Image
36,tool,,,TOOL:daily::online_shopping,daily::online_shopping,daily::online_shopping,daily::search_by_engine,multimedia::Text Search,daily::get_news_for_topic,daily::organize_meeting_online
37,tool,,,TOOL:daily::sell_item_online,daily::sell_item_online,daily::sell_item_online,daily::online_shopping,daily::search_by_engine,multimedia::Image Search,huggingface::Object Detection
38,tool,,,TOOL:daily::daily_bill_payment,daily::daily_bill_payment,daily::daily_bill_payment,daily::print_document,daily::borrow_book_online,daily::book_car,daily::book_flight
39,tool,,,TOOL:daily::book_hotel,daily::book_hotel,daily::book_hotel,daily::book_car,daily::book_restaurant,daily::borrow_book_online,daily::print_document
40,tool,,,TOOL:huggingface::Audio Classification,huggingface::Audio Classification,huggingface::Audio Classification,huggingface::Text-to-Speech,multimedia::Audio-to-Text,huggingface::Text-to-Speech,multimedia::Audio-to-Text
41,tool,,,TOOL:daily::organize_meeting_online,daily::organize_meeting_online,daily::organize_meeting_online,multimedia::Topic Generator,multimedia::Text Search,multimedia::Text Sentiment Analysis,huggingface::Summarization
42,tool,,,TOOL:multimedia::Video-to-Audio,multimedia::Video-to-Audio,multimedia::Video-to-Audio,multimedia::Audio-to-Image,multimedia::Image Search (by Image),huggingface::Image-to-Image,huggingface::Object Detection
43,tool,,,TOOL:multimedia::Video Voiceover,multimedia::Video Voiceover,multimedia::Video Voiceover,multimedia::Video Stabilizer,multimedia::Video-to-Image,multimedia::Image Search (by Image),huggingface::Depth Estimation
44,tool,,,TOOL:huggingface::Token Classification,huggingface::Token Classification,huggingface::Token Classification,multimedia::Text Sentiment Analysis,multimedia::Text Simplifier,multimedia::Text Sentiment Analysis,multimedia::Text-to-Audio
45,tool,,,TOOL:huggingface::Image Editing,huggingface::Image Editing,huggingface::Image Editing,huggingface::Image Segmentation,multimedia::Image Search (by Image),multimedia::Image-to-Text,multimedia::Text-to-Audio
46,tool,,,TOOL:huggingface::Document Question Answering,huggingface::Document Question Answering,huggingface::Document Question Answering,multimedia::Text-to-Image,multimedia::Image Search (by Image),huggingface::Depth Estimation,huggingface::Object Detection
47,tool,,,TOOL:multimedia::Text Expander,multimedia::Text Expander,multimedia::Text Expander,multimedia::Keyword Extractor,multimedia::Topic Generator,daily::get_news_for_topic,daily::attend_meeting_online
48,tool,,,TOOL:daily::borrow_book_online,daily::borrow_book_online,daily::borrow_book_online,daily::book_flight,daily::book_restaurant,daily::order_food_delivery,daily::order_taxi
49,tool,,,TOOL:daily::order_food_delivery,daily::order_food_delivery,daily::order_food_delivery,daily::sell_item_online,daily::online_shopping,daily::buy_insurance,daily::online_shopping
50,tool,,,TOOL:multimedia::Audio-to-Image,multimedia::Audio-to-Image,multimedia::Audio-to-Image,huggingface::Image-to-Image,huggingface::Image-to-Text,multimedia::Text Sentiment Analysis,huggingface::Text Generation
51,tool,,,TOOL:huggingface::Object Detection,huggingface::Object Detection,huggingface::Object Detection,huggingface::Token Classification,huggingface::Text-to-Speech,huggingface::Audio Classification,huggingface::Text-to-Speech
52,tool,,,TOOL:daily::buy_insurance,daily::buy_insurance,daily::buy_insurance,daily::online_shopping,daily::sell_item_online,daily::pay_for_credit_card,daily::online_shopping
53,tool,,,TOOL:huggingface::Image Segmentation,huggingface::Image Segmentation,huggingface::Image Segmentation,huggingface::Image-to-Image,multimedia::Image Colorizer,multimedia::Image Search (by Image),huggingface::Image Classification
54,tool,,,TOOL:daily::make_voice_call,daily::make_voice_call,daily::make_voice_call,huggingface::Conversational,multimedia::Text-to-Video,multimedia::Video-to-Image,huggingface::Image-to-Image
55,tool,,,TOOL:multimedia::Audio-to-Text,multimedia::Audio-to-Text,multimedia::Audio-to-Text,multimedia::Text Expander,multimedia::Topic Generator,daily::attend_meeting_online,daily::get_news_for_topic
56,tool,,,TOOL:daily::book_flight,daily::book_flight,daily::book_flight,daily::order_taxi,daily::auto_driving_to_destination,daily::order_taxi,daily::order_food_delivery
57,tool,,,TOOL:daily::search_by_engine,daily::search_by_engine,daily::search_by_engine,multimedia::Video Search,multimedia::Video-to-Audio,huggingface::Audio Classification,huggingface::Text-to-Speech
58,tool,,,TOOL:multimedia::Text Translator,multimedia::Text Translator,multimedia::Text Translator,huggingface::Translation,multimedia::Text Simplifier,multimedia::Text Grammar Checker,multimedia::Text Expander
59,tool,,,TOOL:multimedia::Audio Splicer,multimedia::Audio Splicer,multimedia::Audio Splicer,huggingface::Audio Classification,daily::recording_audio,multimedia::Audio-to-Image,multimedia::Image Search (by Image)
60,tool,,,TOOL:multimedia::Video Search,multimedia::Video Search,multimedia::Video Search,multimedia::Video-to-Image,huggingface::Image-to-Image,multimedia::Image Search (by Image),huggingface::Image Segmentation
61,tool,,,TOOL:multimedia::Image Colorizer,multimedia::Image Colorizer,multimedia::Image Colorizer,huggingface::Image-to-Image,huggingface::Image Classification,huggingface::Token Classification,multimedia::Text Sentiment Analysis
62,tool,,,TOOL:multimedia::Image Search,multimedia::Image Search,multimedia::Image Search,multimedia::Image Search (by Image),huggingface::Image-to-Text,huggingface::Text-to-Video,multimedia::Video-to-Text
63,tool,,,TOOL:huggingface::Text-to-Speech,huggingface::Text-to-Speech,huggingface::Text-to-Speech,huggingface::Audio-to-Audio,huggingface::Audio Classification,daily::recording_audio,huggingface::Audio Classification
64,tool,,,TOOL:daily::stock_operation,daily::stock_operation,daily::stock_operation,daily::online_banking,daily::sell_item_online,daily::online_shopping,daily::pay_for_credit_card
65,tool,,,TOOL:daily::pay_for_credit_card,daily::pay_for_credit_card,daily::pay_for_credit_card,daily::online_shopping,daily::buy_insurance,daily::search_by_engine,daily::buy_insurance
66,tool,,,TOOL:multimedia::Topic Generator,multimedia::Topic Generator,multimedia::Topic Generator,multimedia::Text-to-Video,multimedia::Video Stabilizer,multimedia::Video-to-Text,huggingface::Text-to-Image
67,tool,,,TOOL:multimedia::Audio Splicer,multimedia::Audio Splicer,multimedia::Audio Splicer,huggingface::Automatic Speech Recognition,huggingface::Text-to-Image,huggingface::Image Classification,huggingface::Text-to-Video
68,tool,,,TOOL:daily::book_restaurant,daily::book_restaurant,daily::book_restaurant,daily::order_food_delivery,daily::book_flight,daily::order_taxi,daily::order_food_delivery
69,tool,,,TOOL:huggingface::Translation,huggingface::Translation,huggingface::Translation,multimedia::Text Simplifier,huggingface::Translation,multimedia::Text Summarizer,multimedia::Text-to-Image
70,tool,,,TOOL:multimedia::Video Synchronization,multimedia::Video Synchronization,multimedia::Video Synchronization,multimedia::Video-to-Audio,multimedia::Audio-to-Image,multimedia::Image Colorizer,huggingface::Image Classification
71,tool,,,TOOL:multimedia::Text Grammar Checker,multimedia::Text Grammar Checker,multimedia::Text Grammar Checker,multimedia::Text Search,multimedia::Keyword Extractor,multimedia::Text Expander,multimedia::Topic Generator
72,tool,,,TOOL:daily::attend_meeting_online,daily::attend_meeting_online,daily::attend_meeting_online,daily::get_news_for_topic,multimedia::Topic Generator,huggingface::Text-to-Image,huggingface::Image-to-Image
73,tool,,,TOOL:daily::deliver_package,daily::deliver_package,daily::deliver_package,daily::book_flight,daily::book_restaurant,daily::borrow_book_online,daily::book_flight
74,tool,,,TOOL:daily::get_news_for_topic,daily::get_news_for_topic,daily::get_news_for_topic,multimedia::Text Search,daily::get_news_for_topic,multimedia::Text Search,multimedia::URL Extractor
75,tool,,,TOOL:daily::sell_item_online,daily::sell_item_online,daily::sell_item_online,daily::order_food_delivery,daily::auto_driving_to_destination,daily::order_food_delivery,daily::book_restaurant
76,tool,,,TOOL:daily::borrow_book_online,daily::borrow_book_online,daily::borrow_book_online,daily::book_car,daily::book_hotel,daily::book_flight,daily::order_taxi
77,tool,,,TOOL:multimedia::Text Sentiment Analysis,multimedia::Text Sentiment Analysis,multimedia::Text Sentiment Analysis,huggingface::Token Classification,multimedia::Text-to-Image,huggingface::Tabular Classification,huggingface::Text-to-Image
78,tool,,,TOOL:multimedia::Image Stitcher,multimedia::Image Stitcher,multimedia::Image Stitcher,huggingface::Image Segmentation,huggingface::Object Detection,huggingface::Token Classification,multimedia::Text Search
79,tool,,,TOOL:daily::enroll_in_course,daily::enroll_in_course,daily::enroll_in_course,daily::software_management,daily::deliver_package,daily::order_taxi,daily::auto_driving_to_destination
80,tool,,,TOOL:multimedia::Image Style Transfer,multimedia::Image Style Transfer,multimedia::Image Style Transfer,huggingface::Image-to-Text,multimedia::Text-to-Audio,huggingface::Audio-to-Audio,multimedia::Audio-to-Image
81,tool,,,TOOL:multimedia::Video-to-Audio,multimedia::Video-to-Audio,multimedia::Video-to-Audio,huggingface::Audio Classification,huggingface::Text-to-Speech,multimedia::Audio-to-Image,huggingface::Image-to-Text
82,tool,,,TOOL:multimedia::Video Search,multimedia::Video Search,multimedia::Video Search,multimedia::Video-to-Image,multimedia::Image Search (by Image),multimedia::Image Colorizer,huggingface::Object Detection
83,tool,,,TOOL:multimedia::Article Spinner,multimedia::Article Spinner,multimedia::Article Spinner,huggingface::Text Generation,multimedia::Keyword Extractor,huggingface::Summarization,multimedia::Text-to-Image
84,tool,,,TOOL:multimedia::Image Search (by Image),multimedia::Image Search (by Image),multimedia::Image Search (by Image),huggingface::Depth Estimation,multimedia::Image Search (by Image),multimedia::Image Colorizer,huggingface::Image-to-Image
85,tool,,,TOOL:daily::auto_driving_to_destination,daily::auto_driving_to_destination,daily::auto_driving_to_destination,daily::book_flight,daily::book_hotel,daily::book_restaurant,daily::book_flight
86,tool,,,TOOL:daily::deliver_package,daily::deliver_package,daily::deliver_package,daily::order_food_delivery,daily::online_shopping,daily::buy_insurance,daily::stock_operation
87,tool,,,TOOL:daily::book_car,daily::book_car,daily::book_car,daily::order_taxi,daily::deliver_package,daily::apply_for_job,daily::deliver_package
88,tool,,,TOOL:daily::send_email,daily::send_email,daily::send_email,daily::deliver_package,daily::apply_for_job,daily::deliver_package,daily::apply_for_job
89,tool,,,TOOL:huggingface::Image Editing,huggingface::Image Editing,huggingface::Image Editing,huggingface::Image-to-Image,huggingface::Image Segmentation,multimedia::Image Search (by Image),multimedia::Image-to-Text
90,tool,,,TOOL:multimedia::Video-to-Text,multimedia::Video-to-Text,multimedia::Video-to-Text,multimedia::Keyword Extractor,multimedia::Text Summarizer,multimedia::Text Simplifier,multimedia::Keyword Extractor
91,tool,,,TOOL:multimedia::Image-to-Video,multimedia::Image-to-Video,multimedia::Image-to-Video,multimedia::Video Stabilizer,multimedia::Video-to-Text,daily::make_video_call,daily::make_voice_call
92,tool,,,TOOL:multimedia::Text-to-Image,multimedia::Text-to-Image,multimedia::Text-to-Image,huggingface::Image Segmentation,huggingface::Image Classification,multimedia::Image Search,huggingface::Image-to-Image
93,tool,,,TOOL:daily::order_food_delivery,daily::order_food_delivery,daily::order_food_delivery,daily::deliver_package,daily::order_food_delivery,daily::deliver_package,daily::auto_driving_to_destination
94,tool,,,TOOL:multimedia::Text Downloader,multimedia::Text Downloader,multimedia::Text Downloader,multimedia::Keyword Extractor,huggingface::Summarization,multimedia::Text Expander,multimedia::Topic Generator
95,tool,,,TOOL:multimedia::Text Downloader,multimedia::Text Downloader,multimedia::Text Downloader,multimedia::URL Extractor,multimedia::Image Downloader,multimedia::Image Search (by Image),huggingface::Image-to-Text
96,tool,,,TOOL:daily::apply_for_passport,daily::apply_for_passport,daily::apply_for_passport,daily::apply_for_job,daily::apply_for_passport,daily::apply_for_job,daily::deliver_package
97,tool,,,TOOL:huggingface::Depth Estimation,huggingface::Depth Estimation,huggingface::Depth Estimation,huggingface::Image-to-Image,huggingface::Image Segmentation,huggingface::Depth Estimation,multimedia::Image Search (by Image)
98,tool,,,TOOL:multimedia::Audio-to-Text,multimedia::Audio-to-Text,multimedia::Audio-to-Text,daily::make_voice_call,daily::make_video_call,daily::send_sms,daily::make_voice_call
99,tool,,,TOOL:multimedia::Text-to-Image,multimedia::Text-to-Image,multimedia::Text-to-Image,multimedia::Image-to-Text,multimedia::Text Translator,multimedia::Keyword Extractor,huggingface::Text Generation
100,tool,,,TOOL:huggingface::Sentence Similarity,huggingface::Sentence Similarity,huggingface::Sentence Similarity,multimedia::Text Summarizer,multimedia::Article Spinner,huggingface::Summarization,multimedia::Topic Generator
101,tool,,,TOOL:daily::order_taxi,daily::order_taxi,daily::order_taxi,daily::book_flight,daily::get_weather,daily::book_car,daily::book_restaurant
102,tool,,,TOOL:huggingface::Object Detection,huggingface::Object Detection,huggingface::Object Detection,huggingface::Text-to-Video,multimedia::Video-to-Image,multimedia::Image-to-Text,multimedia::URL Extractor
103,tool,,,TOOL:huggingface::Text-to-Image,huggingface::Text-to-Image,huggingface::Text-to-Image,huggingface::Image Classification,multimedia::Text-to-Image,huggingface::Image-to-Text,huggingface::Text-to-Video
104,tool,,,TOOL:huggingface::Image Classification,huggingface::Image Classification,huggingface::Image Classification,huggingface::Text-to-Image,huggingface::Image-to-Text,huggingface::Token Classification,huggingface::Text-to-Speech
105,tool,,,TOOL:multimedia::Video Search,multimedia::Video Search,multimedia::Video Search,multimedia::Video-to-Image,huggingface::Image-to-Image,huggingface::Image Segmentation,huggingface::Image-to-Text
106,tool,,,TOOL:huggingface::Visual Question Answering,huggingface::Visual Question Answering,huggingface::Visual Question Answering,multimedia::Text-to-Video,multimedia::Video Stabilizer,multimedia::Video-to-Text,huggingface::Text Generation
107,tool,,,TOOL:multimedia::Audio Effects,multimedia::Audio Effects,multimedia::Audio Effects,huggingface::Audio-to-Audio,multimedia::Audio Noise Reduction,huggingface::Audio Classification,huggingface::Token Classification
108,tool,,,TOOL:daily::software_management,daily::software_management,daily::software_management,daily::enroll_in_course,daily::software_management,daily::deliver_package,daily::software_management
109,tool,,,TOOL:multimedia::Audio Noise Reduction,multimedia::Audio Noise Reduction,multimedia::Audio Noise Reduction,huggingface::Audio Classification,huggingface::Text-to-Speech,huggingface::Audio-to-Audio,huggingface::Audio Classification
110,tool,,,TOOL:multimedia::Image-to-Video,multimedia::Image-to-Video,multimedia::Image-to-Video,multimedia::Video-to-Audio,huggingface::Audio-to-Audio,multimedia::Audio-to-Image,huggingface::Image-to-Image
111,tool,,,TOOL:multimedia::Image Search (by Image),multimedia::Image Search (by Image),multimedia::Image Search (by Image),huggingface::Image-to-Text,huggingface::Summarization,huggingface::Text-to-Speech,huggingface::Audio Classification
112,tool,,,TOOL:multimedia::Text Search,multimedia::Text Search,multimedia::Text Search,daily::get_news_for_topic,daily::organize_meeting_online,daily::attend_meeting_online,daily::organize_meeting_online
113,tool,,,TOOL:huggingface::Document Question Answering,huggingface::Document Question Answering,huggingface::Document Question Answering,huggingface::Summarization,multimedia::Article Spinner,multimedia::Text Expander,multimedia::Text Summarizer
114,tool,,,TOOL:multimedia::Video-to-Audio,multimedia::Video-to-Audio,multimedia::Video-to-Audio,multimedia::Audio-to-Text,multimedia::Keyword Extractor,huggingface::Token Classification,huggingface::Text Generation
115,tool,,,TOOL:multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video-to-Text,huggingface::Text-to-Video,multimedia::Video-to-Audio,multimedia::Audio Noise Reduction
116,tool,,,TOOL:daily::make_voice_call,daily::make_voice_call,daily::make_voice_call,daily::make_video_call,huggingface::Text-to-Video,multimedia::Video-to-Audio,huggingface::Audio Classification
117,tool,,,TOOL:daily::online_banking,daily::online_banking,daily::online_banking,daily::sell_item_online,daily::stock_operation,daily::sell_item_online,daily::order_food_delivery
118,tool,,,TOOL:daily::attend_meeting_online,daily::attend_meeting_online,daily::attend_meeting_online,multimedia::Topic Generator,huggingface::Text Generation,multimedia::Text Summarizer,multimedia::Text-to-Audio
119,tool,,,TOOL:daily::borrow_book_online,daily::borrow_book_online,daily::borrow_book_online,daily::book_restaurant,daily::book_hotel,daily::book_flight,daily::book_car
120,tool,,,TOOL:daily::send_email,daily::send_email,daily::send_email,daily::send_sms,daily::make_voice_call,daily::send_sms,daily::make_video_call
121,tool,,,TOOL:multimedia::Image-to-Text,multimedia::Image-to-Text,multimedia::Image-to-Text,multimedia::URL Extractor,multimedia::Video Downloader,multimedia::Video-to-Image,multimedia::Image Search (by Image)
122,tool,,,TOOL:huggingface::Tabular Classification,huggingface::Tabular Classification,huggingface::Tabular Classification,huggingface::Text-to-Image,huggingface::Image-to-Text,huggingface::Translation,multimedia::Text Simplifier
123,tool,,,TOOL:multimedia::Text Downloader,multimedia::Text Downloader,multimedia::Text Downloader,huggingface::Text Generation,huggingface::Text-to-Speech,huggingface::Audio-to-Audio,huggingface::Automatic Speech Recognition
124,tool,,,TOOL:multimedia::Video Voiceover,multimedia::Video Voiceover,multimedia::Video Voiceover,multimedia::Video-to-Audio,huggingface::Audio-to-Audio,multimedia::Audio-to-Text,multimedia::Text-to-Video
125,tool,,,TOOL:daily::send_sms,daily::send_sms,daily::send_sms,daily::send_email,daily::send_sms,daily::send_email,daily::send_sms
126,tool,,,TOOL:huggingface::Conversational,huggingface::Conversational,huggingface::Conversational,huggingface::Text Generation,huggingface::Text-to-Speech,multimedia::Audio-to-Text,multimedia::Text Sentiment Analysis
127,tool,,,TOOL:multimedia::Text Expander,multimedia::Text Expander,multimedia::Text Expander,huggingface::Text-to-Image,huggingface::Image Classification,multimedia::Image Search,huggingface::Image-to-Image
128,tool,,,TOOL:huggingface::Tabular Classification,huggingface::Tabular Classification,huggingface::Tabular Classification,huggingface::Token Classification,huggingface::Text-to-Speech,multimedia::Audio-to-Text,huggingface::Text Generation
129,tool,,,TOOL:multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video-to-Audio,huggingface::Audio-to-Audio,huggingface::Automatic Speech Recognition,huggingface::Conversational
130,tool,,,TOOL:daily::recording_audio,daily::recording_audio,daily::recording_audio,multimedia::Audio-to-Text,multimedia::Text Summarizer,multimedia::Text Simplifier,multimedia::Text Sentiment Analysis
131,tool,,,TOOL:multimedia::Text Paraphraser,multimedia::Text Paraphraser,multimedia::Text Paraphraser,multimedia::URL Extractor,multimedia::Text Downloader,multimedia::Text-to-Audio,multimedia::Audio Noise Reduction
132,tool,,,TOOL:daily::order_taxi,daily::order_taxi,daily::order_taxi,daily::auto_driving_to_destination,daily::order_food_delivery,daily::deliver_package,daily::auto_driving_to_destination
133,tool,,,TOOL:multimedia::Keyword Extractor,multimedia::Keyword Extractor,multimedia::Keyword Extractor,multimedia::Text Paraphraser,multimedia::URL Extractor,multimedia::Video Downloader,multimedia::Video-to-Audio
134,tool,,,TOOL:multimedia::Image Colorizer,multimedia::Image Colorizer,multimedia::Image Colorizer,huggingface::Object Detection,multimedia::Image Search,huggingface::Image Classification,huggingface::Token Classification
135,tool,,,TOOL:multimedia::Video-to-Text,multimedia::Video-to-Text,multimedia::Video-to-Text,multimedia::Text Summarizer,multimedia::Text Paraphraser,multimedia::Text Translator,huggingface::Translation
136,tool,,,TOOL:daily::deliver_package,daily::deliver_package,daily::deliver_package,daily::software_management,daily::enroll_in_course,daily::software_management,daily::stock_operation
137,tool,,,TOOL:huggingface::Audio Classification,huggingface::Audio Classification,huggingface::Audio Classification,multimedia::Text-to-Audio,huggingface::Audio-to-Audio,huggingface::Automatic Speech Recognition,huggingface::Text-to-Video
138,tool,,,TOOL:multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video-to-Audio,huggingface::Audio Classification,huggingface::Text-to-Video,multimedia::Video-to-Text
139,tool,,,TOOL:huggingface::Text Generation,huggingface::Text Generation,huggingface::Text Generation,multimedia::Text-to-Video,multimedia::Video Stabilizer,multimedia::Video-to-Image,huggingface::Image-to-Image
140,tool,,,TOOL:multimedia::Topic Generator,multimedia::Topic Generator,multimedia::Topic Generator,multimedia::Text Search,huggingface::Token Classification,huggingface::Text Generation,multimedia::Text Paraphraser
141,tool,,,TOOL:huggingface::Text Generation,huggingface::Text Generation,huggingface::Text Generation,multimedia::Topic Generator,daily::organize_meeting_online,daily::attend_meeting_online,daily::organize_meeting_online
142,tool,,,TOOL:huggingface::Image Editing,huggingface::Image Editing,huggingface::Image Editing,multimedia::Image-to-Text,multimedia::Text-to-Video,multimedia::Video Stabilizer,multimedia::Video-to-Image
143,tool,,,TOOL:daily::print_document,daily::print_document,daily::print_document,daily::borrow_book_online,daily::book_car,daily::book_restaurant,daily::book_car
144,tool,,,TOOL:huggingface::Text-to-Speech,huggingface::Text-to-Speech,huggingface::Text-to-Speech,huggingface::Audio Classification,huggingface::Text-to-Speech,huggingface::Automatic Speech Recognition,multimedia::Text Search
145,tool,,,TOOL:huggingface::Audio-to-Audio,huggingface::Audio-to-Audio,huggingface::Audio-to-Audio,multimedia::Audio Noise Reduction,huggingface::Audio Classification,daily::recording_audio,huggingface::Audio Classification
146,tool,,,TOOL:daily::order_taxi,daily::order_taxi,daily::order_taxi,daily::book_car,daily::book_hotel,daily::book_flight,daily::order_food_delivery
